rep,trial_number,attempt_id,status
116,1,r116t01a1,ok
116,2,r116t02a1,ok
116,3,r116t03a1,ok
116,4,r116t04a1,ok
116,5,r116t05a1,ok
116,6,r116t06a1,ok
116,7,r116t07a1,ok
116,8,r116t08a1,ok
116,9,r116t09a1,ok
116,10,r116t10a1,ok
116,11,r116t11a1,ok
116,12,r116t12a1,ok
116,13,r116t13a1,ok
116,14,r116t14a1,ok
116,15,r116t15a1,ok
116,16,r116t16a1,ok
116,17,r116t17a1,ok
116,18,r116t18a1,ok
116,19,r116t19a1,ok
116,20,r116t20a1,ok
116,21,r116t21a1,ok
116,22,r116t22a1,ok
116,23,r116t23a1,ok
116,24,r116t24a1,ok
116,25,r116t25a1,ok
116,26,r116t26a1,ok
116,27,r116t27a1,ok
116,28,r116t28a1,ok
116,29,r116t29a1,ok
116,30,r116t30a1,ok
116,31,r116t31a1,ok
116,32,r116t32a1,ok
116,33,r116t33a1,ok
116,34,r116t34a1,ok
116,35,r116t35a1,ok
116,36,r116t36a1,ok
