rep,trial_number,attempt_id,status
161,1,r161t01a1,ok
161,2,r161t02a1,ok
161,3,r161t03a1,ok
161,4,r161t04a1,ok
161,5,r161t05a1,ok
161,6,r161t06a1,ok
161,7,r161t07a1,ok
161,8,r161t08a1,ok
161,9,r161t09a1,ok
161,10,r161t10a1,ok
161,11,r161t11a1,ok
161,12,r161t12a1,ok
161,13,r161t13a1,ok
161,14,r161t14a1,ok
161,15,r161t15a1,ok
161,16,r161t16a1,ok
161,17,r161t17a1,ok
161,18,r161t18a1,ok
161,19,r161t19a1,ok
161,20,r161t20a1,ok
161,21,r161t21a1,ok
161,22,r161t22a1,ok
161,23,r161t23a1,ok
161,24,r161t24a1,ok
161,25,r161t25a1,ok
161,26,r161t26a1,ok
161,27,r161t27a1,ok
161,28,r161t28a1,ok
161,29,r161t29a1,ok
161,30,r161t30a1,ok
161,31,r161t31a1,ok
161,32,r161t32a1,ok
161,33,r161t33a1,ok
161,34,r161t34a1,ok
161,35,r161t35a1,ok
161,36,r161t36a1,ok
