model,condition,trial_in_block,n_trials,accuracy,choice_entropy_bits,choice_switch_rate,prev_rule_error_rate
claude-sonnet-5,RawLLM,3,661,0.334342,0.064255,0.024206,0.335855
claude-sonnet-5,RawLLM,4,661,0.335855,0.029795,0.016641,0.335855
claude-sonnet-5,RawLLM,5,638,0.329154,0.055402,0.025078,0.341693
claude-sonnet-5,RawLLM,6,408,0.323529,0.062939,0.029412,0.335784
claude-sonnet-5,RawLLM,7,192,0.348958,0.046999,0.015625,0.322917
claude-sonnet-5,RawLLM,8,18,0.388889,-0.0,0.0,0.222222
claude-sonnet-5,RuleBlindFull,1,661,0.305598,0.536656,0.240545,0.396369
claude-sonnet-5,RuleBlindFull,2,661,0.503782,1.288464,0.458396,0.03177
claude-sonnet-5,RuleBlindFull,3,661,0.597579,1.340978,0.193646,0.054463
claude-sonnet-5,RuleBlindFull,4,661,0.465961,1.047412,0.332829,0.249622
claude-sonnet-5,RuleBlindFull,5,638,0.532915,1.100444,0.445141,0.180251
claude-sonnet-5,RuleBlindFull,6,408,0.421569,0.806536,0.446078,0.301471
claude-sonnet-5,RuleBlindFull,7,192,0.432292,0.519904,0.276042,0.296875
claude-sonnet-5,RuleBlindFull,8,18,0.388889,-0.0,0.055556,0.222222
claude-sonnet-5,NoVeto,1,661,0.320726,0.169302,0.04236,0.352496
claude-sonnet-5,NoVeto,2,661,0.334342,0.471925,0.1059,0.400908
claude-sonnet-5,NoVeto,3,661,0.503782,1.434611,0.532526,0.128593
claude-sonnet-5,NoVeto,4,661,0.346445,0.677807,0.574887,0.434191
claude-sonnet-5,NoVeto,5,638,0.330721,0.205687,0.158307,0.360502
claude-sonnet-5,NoVeto,6,408,0.323529,0.062939,0.051471,0.335784
claude-sonnet-5,NoVeto,7,192,0.348958,0.09396,0.020833,0.317708
claude-sonnet-5,NoVeto,8,18,0.388889,-0.0,0.0,0.222222
claude-sonnet-5,TrajectoryOnly,1,661,0.334342,1.013454,0.502269,0.346445
claude-sonnet-5,TrajectoryOnly,2,661,0.334342,0.627842,0.355522,0.341906
claude-sonnet-5,TrajectoryOnly,3,661,0.331316,0.448656,0.195159,0.334342
claude-sonnet-5,TrajectoryOnly,4,661,0.313162,0.63706,0.195159,0.34947
claude-sonnet-5,TrajectoryOnly,5,638,0.324451,0.925532,0.315047,0.340125
claude-sonnet-5,TrajectoryOnly,6,408,0.338235,1.123108,0.480392,0.316176
claude-sonnet-5,TrajectoryOnly,7,192,0.3125,1.16563,0.520833,0.338542
claude-sonnet-5,TrajectoryOnly,8,18,0.277778,0.852405,0.722222,0.277778
claude-sonnet-5,YokedRandom,1,661,0.313162,0.537519,0.242057,0.382753
claude-sonnet-5,YokedRandom,2,661,0.508321,1.296104,0.458396,0.02118
claude-sonnet-5,YokedRandom,3,661,0.515885,1.3407,0.245083,0.028744
claude-sonnet-5,YokedRandom,4,661,0.455371,1.046867,0.414523,0.213313
claude-sonnet-5,YokedRandom,5,638,0.451411,1.105016,0.446708,0.15674
claude-sonnet-5,YokedRandom,6,408,0.384804,0.817737,0.446078,0.279412
claude-sonnet-5,YokedRandom,7,192,0.380208,0.514517,0.276042,0.328125
claude-sonnet-5,YokedRandom,8,18,0.388889,-0.0,0.055556,0.222222
claude-sonnet-5,WSLSBudgeted,1,661,0.249622,0.899413,0.034796,0.521936
claude-sonnet-5,WSLSBudgeted,2,661,0.461422,1.231827,0.464448,0.07413
claude-sonnet-5,WSLSBudgeted,3,661,0.679274,1.280888,0.258699,0.093797
claude-sonnet-5,WSLSBudgeted,4,661,0.636914,1.187361,0.059002,0.113464
claude-sonnet-5,WSLSBudgeted,5,638,0.584639,1.079983,0.073668,0.141066
claude-sonnet-5,WSLSBudgeted,6,408,0.54902,1.004503,0.073529,0.139706
claude-sonnet-5,WSLSBudgeted,7,192,0.541667,0.912084,0.046875,0.130208
claude-sonnet-5,WSLSBudgeted,8,18,0.388889,-0.0,0.0,0.222222
claude-sonnet-5,WSLSUnlimited,1,661,0.12708,1.390409,0.007564,0.747352
claude-sonnet-5,WSLSUnlimited,2,661,0.487141,1.512056,0.753404,0.001513
claude-sonnet-5,WSLSUnlimited,3,661,0.87292,1.538212,0.396369,0.001513
claude-sonnet-5,WSLSUnlimited,4,661,0.875946,1.538265,0.012103,0.0
claude-sonnet-5,WSLSUnlimited,5,638,0.866771,1.538064,0.017241,0.001567
claude-sonnet-5,WSLSUnlimited,6,408,0.860294,1.529665,0.019608,0.0
claude-sonnet-5,WSLSUnlimited,7,192,0.895833,1.521443,0.005208,0.0
claude-sonnet-5,WSLSUnlimited,8,18,0.944444,1.480682,0.0,0.0
claude-sonnet-5,OracleFull,1,661,0.785174,1.447495,0.67171,0.0
claude-sonnet-5,OracleFull,2,661,0.763994,1.420265,0.229955,0.0
claude-sonnet-5,OracleFull,3,661,0.721634,1.358732,0.281392,0.055976
claude-sonnet-5,OracleFull,4,661,0.449319,0.637631,0.511346,0.335855
claude-sonnet-5,OracleFull,5,638,0.485893,0.809825,0.286834,0.285266
claude-sonnet-5,OracleFull,6,408,0.686275,1.32348,0.563725,0.07598
claude-sonnet-5,OracleFull,7,192,0.484375,0.715009,0.5,0.322917
claude-sonnet-5,OracleFull,8,18,0.444444,0.309543,0.277778,0.222222
gpt-5.5-2026-04-23,RawLLM,1,661,0.3177,0.696187,0.242057,0.360061
gpt-5.5-2026-04-23,RawLLM,2,661,0.325265,0.68434,0.246596,0.352496
gpt-5.5-2026-04-23,RawLLM,3,661,0.343419,0.598098,0.24357,0.32829
gpt-5.5-2026-04-23,RawLLM,4,661,0.347958,0.620764,0.207262,0.329803
gpt-5.5-2026-04-23,RawLLM,5,638,0.329154,0.621805,0.222571,0.34326
gpt-5.5-2026-04-23,RawLLM,6,408,0.311275,0.651611,0.232843,0.313725
gpt-5.5-2026-04-23,RawLLM,7,192,0.359375,0.566574,0.213542,0.328125
gpt-5.5-2026-04-23,RawLLM,8,18,0.444444,0.503258,0.166667,0.222222
gpt-5.5-2026-04-23,RuleBlindFull,1,661,0.269289,0.980285,0.413011,0.455371
gpt-5.5-2026-04-23,RuleBlindFull,2,661,0.472012,1.423196,0.614221,0.09531
gpt-5.5-2026-04-23,RuleBlindFull,3,661,0.588502,1.446969,0.34947,0.078669
