label,model,comparison,metric,family,n_pairs,n_dropped,mean_diff,ci_low,ci_high,rank_biserial,p_raw,p_holm,success
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.125,0.1165,0.1335,,,noninferior,
study2_confirmatory,claude-sonnet-5,WSLSBudgeted vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1611,0.1517,0.1705,,,noninferior,
study2_confirmatory,claude-sonnet-5,(all four primary tests),confirmatory verdict,verdict,,,,,,,,not_replicated,
study2_confirmatory,claude-sonnet-5,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,130,0,-0.0064,-0.0137,0.0006,,,equivalent,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs RawLLM,total_accuracy,primary,130,0,0.116,0.1066,0.1252,0.9859,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RawLLM,total_accuracy,primary,130,0,0.169,0.1615,0.1765,1.0,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RuleBlindFull,total_accuracy,primary,130,0,0.053,0.0423,0.0637,0.7864,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,primary,130,0,-0.1462,-0.5385,0.2231,-0.1136,0.48515,0.48515,fail
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs YokedRandom,total_accuracy,secondary,130,0,0.0438,0.035,0.0528,0.7747,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs YokedRandom,prev_rule_error_count,secondary,130,0,0.0846,-0.1538,0.3231,0.0447,0.52515,1.0,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs NoVeto,total_accuracy,secondary,130,0,0.0652,0.0556,0.0746,0.9099,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,130,0,-2.9385,-3.2923,-2.5846,-0.9768,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs RawLLM,prev_rule_error_count,secondary,130,0,-2.1077,-2.5231,-1.7,-0.8154,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RawLLM,prev_rule_error_count,secondary,130,0,-1.9615,-2.2923,-1.6308,-0.9106,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,TrajectoryOnly vs RawLLM,total_accuracy,secondary,130,0,-0.0002,-0.0028,0.0024,0.0,1.0,1.0,
study2_confirmatory,gpt-5.4-mini-2026-03-17,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,130,0,0.0462,-0.0385,0.1308,0.2,0.38086,1.0,
study2_confirmatory,gpt-5.4-mini-2026-03-17,OracleFull vs RawLLM,total_accuracy,reference,130,0,0.1972,0.1887,0.2062,1.0,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,OracleFull vs RawLLM,prev_rule_error_count,reference,130,0,-5.2538,-5.5923,-4.9308,-1.0,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.116,0.1066,0.1252,,,noninferior,
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.169,0.1615,0.1765,,,noninferior,
study2_confirmatory,gpt-5.4-mini-2026-03-17,(all four primary tests),confirmatory verdict,verdict,,,,,,,,not_replicated,
study2_confirmatory,gpt-5.4-mini-2026-03-17,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,130,0,-0.0002,-0.0024,0.0019,,,equivalent,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs RawLLM,total_accuracy,primary,130,0,0.1252,0.1167,0.1338,1.0,0.0001,<.001,PASS
study2_confirmatory,gpt-5.5-2026-04-23,WSLSBudgeted vs RawLLM,total_accuracy,primary,130,0,0.1613,0.153,0.1694,1.0,0.0001,<.001,PASS
study2_confirmatory,gpt-5.5-2026-04-23,WSLSBudgeted vs RuleBlindFull,total_accuracy,primary,130,0,0.0361,0.025,0.047,0.6038,0.0001,<.001,PASS
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,primary,130,0,-0.4692,-0.9077,-0.0308,-0.2223,0.0369,0.0369,PASS
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs YokedRandom,total_accuracy,secondary,130,0,0.0331,0.0231,0.0434,0.5867,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs YokedRandom,prev_rule_error_count,secondary,130,0,0.3385,0.1462,0.5385,0.3835,0.0013,0.0039,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs NoVeto,total_accuracy,secondary,130,0,0.078,0.069,0.087,0.9913,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,130,0,-3.4923,-3.7923,-3.1846,-0.9988,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs RawLLM,prev_rule_error_count,secondary,130,0,-3.5154,-4.0154,-3.0077,-0.9142,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,WSLSBudgeted vs RawLLM,prev_rule_error_count,secondary,130,0,-3.0462,-3.4231,-2.6538,-0.9432,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,TrajectoryOnly vs RawLLM,total_accuracy,secondary,130,0,0.0017,-0.0047,0.0079,0.084,0.63694,1.0,
study2_confirmatory,gpt-5.5-2026-04-23,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,130,0,0.0308,-0.2154,0.2769,0.0139,0.85271,1.0,
study2_confirmatory,gpt-5.5-2026-04-23,OracleFull vs RawLLM,total_accuracy,reference,130,0,0.2513,0.2444,0.2579,1.0,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,OracleFull vs RawLLM,prev_rule_error_count,reference,130,0,-5.7154,-6.0846,-5.3385,-1.0,0.0001,<.001,
study2_confirmatory,gpt-5.5-2026-04-23,RuleBlindFull vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1252,0.1167,0.1338,,,noninferior,
study2_confirmatory,gpt-5.5-2026-04-23,WSLSBudgeted vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1613,0.153,0.1694,,,noninferior,
study2_confirmatory,gpt-5.5-2026-04-23,(all four primary tests),confirmatory verdict,verdict,,,,,,,,trade_off_replicated,
study2_confirmatory,gpt-5.5-2026-04-23,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,130,0,0.0017,-0.0036,0.0068,,,equivalent,
