error_streak_to_open,veto_window,rescue_error_streak,rescue_cooldown,belief_confirm_streak,mean_accuracy,mean_persistence,mean_interventions
3,5,4,6,2,0.4338,10.5333,6.8
3,5,0,4,2,0.4333,8.9667,4.0667
3,5,0,6,2,0.4333,8.9667,4.0667
3,5,0,8,2,0.4333,8.9667,4.0667
2,2,2,4,1,0.4319,10.45,7.8333
2,2,4,4,2,0.4319,11.0,7.0333
2,5,0,4,2,0.4319,8.5167,3.7
2,5,0,6,2,0.4319,8.5167,3.7
2,5,0,8,2,0.4319,8.5167,3.7
3,2,3,6,2,0.4319,9.6,6.8
3,3,4,4,2,0.4319,11.3333,7.4833
2,4,0,4,2,0.431,8.4667,3.6
2,4,0,6,2,0.431,8.4667,3.6
2,4,0,8,2,0.431,8.4667,3.6
3,3,4,8,2,0.431,10.2,5.8833
1,2,2,4,1,0.4306,10.15,8.1833
1,5,3,4,1,0.4306,9.8667,7.2333
1,5,4,4,1,0.4306,10.4833,6.5167
1,3,3,6,1,0.4301,9.6333,6.3167
1,4,3,6,1,0.4301,9.6333,6.3333
1,5,3,6,1,0.4301,9.6333,6.35
2,4,4,6,2,0.4301,10.0333,6.4667
1,4,4,4,1,0.4296,10.5,6.4833
3,2,4,4,2,0.4296,11.3333,6.9333
3,4,0,4,2,0.4296,8.9167,3.85
3,4,0,6,2,0.4296,8.9167,3.85
3,4,0,8,2,0.4296,8.9167,3.85
3,4,4,6,2,0.4296,10.5,6.5833
2,3,0,4,2,0.4292,8.4,3.4333
2,3,0,6,2,0.4292,8.4,3.4333
2,3,0,8,2,0.4292,8.4,3.4333
1,3,4,6,2,0.4287,9.5,6.5833
1,4,3,4,1,0.4287,9.8833,7.2
1,2,3,6,1,0.4278,9.6667,6.25
1,2,4,4,2,0.4278,10.85,6.8333
1,3,3,4,1,0.4278,9.9667,7.1333
1,3,4,4,1,0.4278,10.5333,6.4
2,3,4,6,2,0.4273,10.0167,6.3
1,3,2,8,1,0.4264,8.7167,5.6833
1,4,2,8,1,0.4264,8.7,5.7
1,5,2,8,1,0.4264,8.7,5.7
1,2,4,4,1,0.4259,10.6833,6.2833
1,2,3,4,1,0.4255,10.0667,7.05
3,3,0,4,2,0.425,8.8,3.5333
