model,condition,lag_after_first_error,at_risk,recovery_events,censored,recovery_hazard,survival_unrecovered,cumulative_recovery
gpt-5.4-mini-2026-03-17,WSLSBudgeted,6,40,2,32,0.05,0.195675,0.804325
gpt-5.4-mini-2026-03-17,WSLSBudgeted,7,6,1,5,0.166667,0.163063,0.836937
gpt-5.4-mini-2026-03-17,WSLSUnlimited,0,635,0,0,0.0,1.0,0.0
gpt-5.4-mini-2026-03-17,WSLSUnlimited,1,635,325,0,0.511811,0.488189,0.511811
gpt-5.4-mini-2026-03-17,WSLSUnlimited,2,310,303,0,0.977419,0.011024,0.988976
gpt-5.4-mini-2026-03-17,WSLSUnlimited,3,7,2,0,0.285714,0.007874,0.992126
gpt-5.4-mini-2026-03-17,WSLSUnlimited,4,5,2,1,0.4,0.004724,0.995276
gpt-5.4-mini-2026-03-17,WSLSUnlimited,5,2,0,2,0.0,0.004724,0.995276
gpt-5.4-mini-2026-03-17,OracleFull,0,624,0,42,0.0,1.0,0.0
gpt-5.4-mini-2026-03-17,OracleFull,1,582,292,43,0.501718,0.498282,0.501718
gpt-5.4-mini-2026-03-17,OracleFull,2,247,179,20,0.724696,0.137179,0.862821
gpt-5.4-mini-2026-03-17,OracleFull,3,48,7,15,0.145833,0.117174,0.882826
gpt-5.4-mini-2026-03-17,OracleFull,4,26,7,15,0.269231,0.085627,0.914373
gpt-5.4-mini-2026-03-17,OracleFull,5,4,0,4,0.0,0.085627,0.914373
