rep,trial_number,attempt_id,status
200,1,r200t01a1,ok
200,2,r200t02a1,ok
200,3,r200t03a1,ok
200,4,r200t04a1,ok
200,5,r200t05a1,ok
200,6,r200t06a1,ok
200,7,r200t07a1,ok
200,8,r200t08a1,ok
200,9,r200t09a1,ok
200,10,r200t10a1,ok
200,11,r200t11a1,ok
200,12,r200t12a1,ok
200,13,r200t13a1,ok
200,14,r200t14a1,ok
200,15,r200t15a1,ok
200,16,r200t16a1,ok
200,17,r200t17a1,ok
200,18,r200t18a1,ok
200,19,r200t19a1,ok
200,20,r200t20a1,ok
200,21,r200t21a1,ok
200,22,r200t22a1,ok
200,23,r200t23a1,ok
200,24,r200t24a1,ok
200,25,r200t25a1,ok
200,26,r200t26a1,ok
200,27,r200t27a1,ok
200,28,r200t28a1,ok
200,29,r200t29a1,ok
200,30,r200t30a1,ok
200,31,r200t31a1,ok
200,32,r200t32a1,ok
200,33,r200t33a1,ok
200,34,r200t34a1,ok
200,35,r200t35a1,ok
200,36,r200t36a1,ok
