rep,trial_number,attempt_id,status
101,1,r101t01a1,ok
101,2,r101t02a1,ok
101,3,r101t03a1,ok
101,4,r101t04a1,ok
101,5,r101t05a1,ok
101,6,r101t06a1,ok
101,7,r101t07a1,ok
101,8,r101t08a1,ok
101,9,r101t09a1,ok
101,10,r101t10a1,ok
101,11,r101t11a1,ok
101,12,r101t12a1,ok
101,13,r101t13a1,ok
101,14,r101t14a1,ok
101,15,r101t15a1,ok
101,16,r101t16a1,ok
101,17,r101t17a1,ok
101,18,r101t18a1,ok
101,19,r101t19a1,ok
101,20,r101t20a1,ok
101,21,r101t21a1,ok
101,22,r101t22a1,ok
101,23,r101t23a1,ok
101,24,r101t24a1,ok
101,25,r101t25a1,ok
101,26,r101t26a1,ok
101,27,r101t27a1,ok
101,28,r101t28a1,ok
101,29,r101t29a1,ok
101,30,r101t30a1,ok
101,31,r101t31a1,ok
101,32,r101t32a1,ok
101,33,r101t33a1,ok
101,34,r101t34a1,ok
101,35,r101t35a1,ok
101,36,r101t36a1,ok
