rep,trial_number,attempt_id,status
62,1,r62t01a1,ok
62,2,r62t02a1,ok
62,3,r62t03a1,ok
62,4,r62t04a1,ok
62,5,r62t05a1,ok
62,6,r62t06a1,ok
62,7,r62t07a1,ok
62,8,r62t08a1,ok
62,9,r62t09a1,ok
62,10,r62t10a1,ok
62,11,r62t11a1,ok
62,12,r62t12a1,ok
62,13,r62t13a1,ok
62,14,r62t14a1,ok
62,15,r62t15a1,ok
62,16,r62t16a1,ok
62,17,r62t17a1,ok
62,18,r62t18a1,ok
62,19,r62t19a1,ok
62,20,r62t20a1,ok
62,21,r62t21a1,ok
62,22,r62t22a1,ok
62,23,r62t23a1,ok
62,24,r62t24a1,ok
62,25,r62t25a1,ok
62,26,r62t26a1,ok
62,27,r62t27a1,ok
62,28,r62t28a1,ok
62,29,r62t29a1,ok
62,30,r62t30a1,ok
62,31,r62t31a1,ok
62,32,r62t32a1,ok
62,33,r62t33a1,ok
62,34,r62t34a1,ok
62,35,r62t35a1,ok
62,36,r62t36a1,ok
