rep,trial_number,attempt_id,status
247,1,r247t01a1,ok
247,2,r247t02a1,ok
247,3,r247t03a1,ok
247,4,r247t04a1,ok
247,5,r247t05a1,ok
247,6,r247t06a1,ok
247,7,r247t07a1,ok
247,8,r247t08a1,ok
247,9,r247t09a1,ok
247,10,r247t10a1,ok
247,11,r247t11a1,ok
247,12,r247t12a1,ok
247,13,r247t13a1,ok
247,14,r247t14a1,ok
247,15,r247t15a1,ok
247,16,r247t16a1,ok
247,17,r247t17a1,ok
247,18,r247t18a1,ok
247,19,r247t19a1,ok
247,20,r247t20a1,ok
247,21,r247t21a1,ok
247,22,r247t22a1,ok
247,23,r247t23a1,ok
247,24,r247t24a1,ok
247,25,r247t25a1,ok
247,26,r247t26a1,ok
247,27,r247t27a1,ok
247,28,r247t28a1,ok
247,29,r247t29a1,ok
247,30,r247t30a1,ok
247,31,r247t31a1,ok
247,32,r247t32a1,ok
247,33,r247t33a1,ok
247,34,r247t34a1,ok
247,35,r247t35a1,ok
247,36,r247t36a1,ok
