rep,trial_number,attempt_id,status
40,1,r40t01a1,ok
40,2,r40t02a1,ok
40,3,r40t03a1,ok
40,4,r40t04a1,ok
40,5,r40t05a1,ok
40,6,r40t06a1,ok
40,7,r40t07a1,ok
40,8,r40t08a1,ok
40,9,r40t09a1,ok
40,10,r40t10a1,ok
40,11,r40t11a1,ok
40,12,r40t12a1,ok
40,13,r40t13a1,ok
40,14,r40t14a1,ok
40,15,r40t15a1,ok
40,16,r40t16a1,ok
40,17,r40t17a1,ok
40,18,r40t18a1,ok
40,19,r40t19a1,ok
40,20,r40t20a1,ok
40,21,r40t21a1,ok
40,22,r40t22a1,ok
40,23,r40t23a1,ok
40,24,r40t24a1,ok
40,25,r40t25a1,ok
40,26,r40t26a1,ok
40,27,r40t27a1,ok
40,28,r40t28a1,ok
40,29,r40t29a1,ok
40,30,r40t30a1,ok
40,31,r40t31a1,ok
40,32,r40t32a1,ok
40,33,r40t33a1,ok
40,34,r40t34a1,ok
40,35,r40t35a1,ok
40,36,r40t36a1,ok
