rep,trial_number,attempt_id,status
138,1,r138t01a1,ok
138,2,r138t02a1,ok
138,3,r138t03a1,ok
138,4,r138t04a1,ok
138,5,r138t05a1,ok
138,6,r138t06a1,ok
138,7,r138t07a1,ok
138,8,r138t08a1,ok
138,9,r138t09a1,ok
138,10,r138t10a1,ok
138,11,r138t11a1,ok
138,12,r138t12a1,ok
138,13,r138t13a1,ok
138,14,r138t14a1,ok
138,15,r138t15a1,ok
138,16,r138t16a1,ok
138,17,r138t17a1,ok
138,18,r138t18a1,ok
138,19,r138t19a1,ok
138,20,r138t20a1,ok
138,21,r138t21a1,ok
138,22,r138t22a1,ok
138,23,r138t23a1,ok
138,24,r138t24a1,ok
138,25,r138t25a1,ok
138,26,r138t26a1,ok
138,27,r138t27a1,ok
138,28,r138t28a1,ok
138,29,r138t29a1,ok
138,30,r138t30a1,ok
138,31,r138t31a1,ok
138,32,r138t32a1,ok
138,33,r138t33a1,ok
138,34,r138t34a1,ok
138,35,r138t35a1,ok
138,36,r138t36a1,ok
