rep,trial_number,attempt_id,status
8,1,r08t01a1,ok
8,2,r08t02a1,ok
8,3,r08t03a1,ok
8,4,r08t04a1,ok
8,5,r08t05a1,ok
8,6,r08t06a1,ok
8,7,r08t07a1,ok
8,8,r08t08a1,ok
8,9,r08t09a1,ok
8,10,r08t10a1,ok
8,11,r08t11a1,ok
8,12,r08t12a1,ok
8,13,r08t13a1,ok
8,14,r08t14a1,ok
8,15,r08t15a1,ok
8,16,r08t16a1,ok
8,17,r08t17a1,ok
8,18,r08t18a1,ok
8,19,r08t19a1,ok
8,20,r08t20a1,ok
8,21,r08t21a1,ok
8,22,r08t22a1,ok
8,23,r08t23a1,ok
8,24,r08t24a1,ok
8,25,r08t25a1,ok
8,26,r08t26a1,ok
8,27,r08t27a1,ok
8,28,r08t28a1,ok
8,29,r08t29a1,ok
8,30,r08t30a1,ok
8,31,r08t31a1,ok
8,32,r08t32a1,ok
8,33,r08t33a1,ok
8,34,r08t34a1,ok
8,35,r08t35a1,ok
8,36,r08t36a1,ok
